Class name,Method name,Return type,Parameters,,
class ga.SampleClass,isQualifiedForRetirement,boolean,"long, long"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,0.47696960070847283,0.25,3.0,"[[9094, 5596], [27381, 887305], [804523, 3878], [86145307, 3243], [475615454, 414679430], [6, 8], [80, 76430], [799134, 1473], [23444, 93], [19691, 5397664]]"
1,0.0,0.5861740355901138,0.42,4.0,"[[9836976, 70160576], [21403, 969497], [7737, 19357], [711266450, 630176792], [62243366, 32040005], [41319, 974321968], [508056, 335], [52616, 9618270], [95798174, 17], [4387, 3972344]]"
2,0.0,0.733212111192934,0.68,5.0,"[[9094, 5596], [4, 30], [872251, 573421350], [1, 85589], [850, 4255], [281407, 7722733], [501169396, 45], [8801184, 747], [850, 568959632], [159, 80]]"
3,0.0,0.8,1.0,5.0,"[[4, 66], [893, 365360], [767080018, 893992], [69304, 463], [0, 54056], [145, 714165], [200471, 5213491], [56, 695711], [4, 49501233], [906593762, 25]]"
4,0.0,0.7855571271397134,1.27,6.0,"[[185861, 98340], [379, 388665994], [14, 0], [102150176, 92444434], [6302, 2392756], [7228, 2081023], [3776849, 6790], [590005348, 694170733], [541373, 8], [4591, 357843]]"
5,0.0,0.8519976525789257,1.71,7.0,"[[74467106, 2470], [21, 1004], [880258, 8], [527089799, 95450], [0, 54056], [4, 4533636], [9937597, 6714], [87240333, 384701], [17006, 56324966], [170414, 705418971]]"
6,0.0,1.0609429767899876,2.12,8.0,"[[925, 66], [4887, 996366], [92224684, 497615912], [3990300, 6274453], [99, 653], [2208497, 4216070], [427165630, 86], [1913376, 914607], [43383280, 46792], [9019, 6]]"
7,0.0,1.1597844627343477,2.57,9.0,"[[236, 24169], [7273716, 153258830], [767080018, 893992], [331404539, 4], [4150, 220318365], [132989, 6496], [674780458, 63139], [2015, 93593], [491466782, 7147269], [91057974, 225709913]]"
8,0.0,1.0156771140475702,3.22,10.0,"[[80, 14222936], [4887, 996366], [169304, 276394], [43176, 884026], [92224684, 497615912], [0, 9726936], [30093671, 179], [6, 20723], [9, 5466050], [6563281, 76578]]"
9,1.0,1.098863048791796,3.65,11.0,"[[789, 54], [14, 0], [9498715, 18138], [767080018, 893992], [41319, 974321968], [43176, 884026], [875212507, 328616229], [1, 10140284], [44, 6], [80, 14222936]]"
10,1.0,1.048999523355468,3.86,12.0,"[[80, 14222936], [5, 1], [82550, 7], [43176, 884026], [7863268, 47893], [14, 0], [2746896, 653017119], [0, 9726936], [67, 15301499], [9132079, 799366]]"
11,2.0,1.1618950038622253,4.3,13.0,"[[83, 3], [9786741, 78316], [69304, 463], [777, 891506], [4150, 220318365], [102150176, 92444434], [674780458, 63139], [427165630, 86], [44, 6], [14, 0]]"
12,3.0,1.1199999999999994,4.84,14.0,"[[51, 34], [872430, 8732], [189666635, 288078026], [5, 1], [27, 6], [102150176, 92444434], [427165630, 86], [2097376, 64366], [135134, 98], [98129, 97130]]"
13,3.0,1.0992724866929042,5.46,15.0,"[[52617978, 6701672], [88913, 68], [99, 653], [2443263, 4629], [57, 16428], [2746896, 653017119], [14, 0], [44, 6], [72, 8], [49, 6]]"
14,3.0,1.0180373274099523,6.06,16.0,"[[96, 6], [42, 40], [635247, 59], [711266450, 630176792], [7863268, 47893], [875212507, 328616229], [8, 4], [41319, 974321968], [0, 9726936], [132464354, 743]]"
15,4.0,1.0685972113008726,6.59,17.0,"[[122332338, 188123978], [98129, 97130], [82550, 7], [9, 4], [27, 6], [875212507, 328616229], [44, 6], [714924, 775333], [49, 6], [135134, 98]]"
16,4.0,1.0575443253121823,6.96,18.0,"[[872430, 8732], [189666635, 288078026], [51, 34], [5, 1], [9, 4], [2746896, 653017119], [27, 6], [132464354, 743], [0, 9726936], [4, 767145772]]"
17,4.0,1.0632027088001614,7.36,19.0,"[[52617978, 6701672], [872430, 8732], [189666635, 288078026], [122332338, 188123978], [99, 653], [77, 9], [9, 1], [674780458, 63139], [27, 6], [51, 34]]"
18,5.0,1.0198039027185566,7.8,20.0,"[[51, 34], [52617978, 6701672], [1, 1], [9, 4], [1, 26062], [44, 6], [674780458, 63139], [20, 6137], [27, 6], [82550, 7]]"
19,6.0,0.8373171442171711,8.17,21.0,"[[76, 7], [27, 6], [6508, 14117], [41319, 974321968], [1, 1], [42, 40], [880576441, 305893], [98129, 97130], [72, 8], [96, 6]]"
20,6.0,0.8423775875461083,8.52,22.0,"[[9, 1], [42, 40], [5, 1], [41319, 974321968], [27, 6], [711266450, 630176792], [9, 4], [132464354, 743], [98129, 97130], [72, 8]]"
21,7.0,0.8905616205518855,8.87,23.0,"[[96, 6], [77, 9], [42, 40], [714924, 775333], [9, 1], [27, 6], [2746896, 653017119], [135134, 98], [76, 7], [72, 8]]"
22,7.0,0.7956758133813048,9.13,24.0,"[[72, 8], [5, 1], [132464354, 743], [9, 4], [92224684, 497615912], [27, 6], [20, 6137], [49, 6], [44, 6], [42, 40]]"
