Class name,Method name,Return type,Parameters,,
class ga.SampleClass,isQualifiedForRetirement,boolean,"long, long"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,0.5582114294781144,0.22,2.0,"[[132842, 33196632], [7662, 43122], [8628703, 936868], [690251726, 828], [560123809, 3], [85988, 452323], [50253715, 72877], [4, 32642962], [46078943, 97], [2429296, 0]]"
1,0.0,0.7130217387990355,0.46,3.0,"[[5710873, 3], [66850263, 8837748], [2, 7727658], [4549386, 125770], [8859341, 898299500], [6, 3109042], [272242, 646], [7, 8855], [4, 7], [91022216, 887161593]]"
2,0.0,0.913181252545189,0.81,3.0,"[[34, 46], [34863, 645303], [170, 718451114], [26486, 802790], [7, 1217053], [63710, 73986009], [7847, 8227928], [286827570, 98951], [83228613, 58], [963535, 20063]]"
3,0.0,0.9725739046468393,1.21,4.0,"[[5128, 81], [34863, 645303], [8, 7682931], [915502896, 343378507], [7, 973175], [8, 896], [296789909, 10], [7847, 8227928], [9318436, 6050917], [9756692, 5812242]]"
4,0.0,0.9718024490605078,1.66,5.0,"[[9268, 852087], [601961890, 17], [26486, 802790], [170, 718451114], [137478270, 19677934], [6, 3109042], [89, 11908952], [3, 9155], [7469, 24898], [17, 36219]]"
5,0.0,0.8874119674649418,2.15,6.0,"[[765, 373], [2833137, 771], [6699, 33906], [325259, 9172], [6438, 7], [166, 790386], [6, 2324], [98, 49], [52098966, 23850929], [37005, 8522]]"
6,0.0,0.8999444427296609,2.51,6.0,"[[674, 188], [27803251, 920], [5, 25], [325259, 9172], [36282067, 564], [816802985, 3385], [7, 2732942], [49787, 14818422], [910732028, 0], [9933, 665377]]"
7,1.0,0.9867117106835213,2.92,7.0,"[[9315, 62], [37732316, 3], [10317483, 9140595], [3, 542015602], [6699, 33906], [137478270, 19677934], [49787, 14818422], [41628, 711], [9, 12], [6, 6]]"
8,1.0,1.0223013254417699,3.43,8.0,"[[9315, 62], [49, 727], [82, 801], [3, 542015602], [137478270, 19677934], [6699, 33906], [49787, 14818422], [41628, 711], [9, 12], [6, 6]]"
9,2.0,1.0361467077590898,3.92,9.0,"[[226285694, 199076676], [87, 5], [37732316, 3], [7681, 51391], [97, 5], [3, 3316266], [211, 2], [60017886, 4580796], [343, 23035349], [910732028, 0]]"
10,2.0,1.0128672173587214,4.29,9.0,"[[49, 727], [910732028, 0], [9431, 4], [211, 2], [7681, 51391], [55, 27], [166, 790386], [14079459, 46412865], [991, 0], [6, 6]]"
11,1.0,1.1516944039110373,4.44,10.0,"[[8, 7682931], [48964892, 2664], [33, 88846994], [789495620, 661589500], [7, 24896451], [69, 3], [34440, 407356], [41628, 711], [40438, 32], [910732028, 0]]"
12,3.0,0.9905049217444597,4.83,11.0,"[[6, 76], [555866455, 94], [33, 88846994], [7681, 51391], [84, 6120536], [55, 27], [49787, 14818422], [7, 4], [6, 6], [685423, 53060]]"
13,2.0,0.9583318840568753,4.96,12.0,"[[47056, 933402870], [685423, 53060], [3, 3316266], [496434, 831107234], [166, 790386], [37, 416285], [7573, 7923], [60017886, 4580796], [6, 6], [87, 5]]"
14,2.0,0.9240670971309385,5.19,12.0,"[[910732028, 0], [581188, 943282], [496434, 831107234], [7495, 11], [7, 24896451], [69, 3], [9299, 88523], [60017886, 4580796], [82, 801], [87, 5]]"
15,3.0,0.9433451118228153,5.51,13.0,"[[6, 76], [6699, 33906], [7495, 11], [6, 6], [7681, 51391], [34440, 407356], [60017886, 4580796], [88, 6], [87, 5], [910732028, 0]]"
16,3.0,1.0344080432788607,5.7,14.0,"[[910732028, 0], [3708, 958000185], [555866455, 94], [97, 5], [6699, 33906], [55, 27], [9299, 88523], [991, 0], [6, 6], [32300038, 93190620]]"
17,3.0,1.0660206376989139,5.94,15.0,"[[87, 5], [6, 76], [581188, 943282], [690610, 6253543], [2167, 6513], [34440, 407356], [60017886, 4580796], [991, 0], [7, 4], [69, 3]]"
18,2.0,1.1563304026099104,6.23,16.0,"[[910732028, 0], [991, 0], [7, 24896451], [2167, 6513], [7, 2732942], [88, 4], [87, 5], [60017886, 4580796], [7208, 321688], [9431, 4]]"
19,4.0,0.9803570778037971,6.67,17.0,"[[88, 4], [910732028, 0], [581188, 943282], [6699, 33906], [373, 795585455], [97, 5], [5, 25], [7, 4], [82, 801], [3, 3]]"
20,4.0,0.8717797887081347,7.0,17.0,"[[32300038, 93190620], [9431, 4], [3, 3], [6699, 33906], [88, 6], [55, 27], [581188, 943282], [643175753, 23819], [6, 6], [910732028, 0]]"
21,5.0,0.8842510955605309,7.09,18.0,"[[87, 5], [9431, 4], [69, 3], [77, 9], [690610, 6253543], [910732028, 0], [88, 6], [7, 2732942], [60017886, 4580796], [3, 3]]"
22,6.0,0.7071067811865476,7.4,19.0,"[[82, 801], [3, 3], [88, 6], [6, 6], [6699, 33906], [69, 3], [7, 4], [9431, 4], [60017886, 4580796], [87, 5]]"
23,5.0,0.8291561975888503,7.55,20.0,"[[910732028, 0], [87, 5], [690610, 6253543], [7, 4], [34440, 407356], [97, 5], [60017886, 4580796], [55, 7], [88, 6], [2167, 6513]]"
24,4.0,0.8511169132381288,7.66,21.0,"[[910732028, 0], [87, 5], [690610, 6253543], [7, 4], [97, 5], [34440, 407356], [60017886, 4580796], [7208, 321688], [69, 3], [2167, 6513]]"
25,6.0,0.856971411425141,7.84,22.0,"[[77, 9], [9431, 4], [69, 3], [3, 3], [6699, 33906], [88, 4], [97, 5], [60017886, 4580796], [87, 5], [34440, 407356]]"
26,6.0,0.8529361054615983,8.05,22.0,"[[87, 5], [3, 3], [88, 6], [9431, 4], [60017886, 4580796], [69, 3], [14079459, 46412865], [6, 6], [910732028, 0], [77, 9]]"
27,7.0,0.7194442299441981,8.32,23.0,"[[77, 9], [87, 5], [88, 6], [6, 6], [3, 3], [7495, 11], [7208, 321688], [69, 3], [55, 7], [60017886, 4580796]]"
28,7.0,0.818474190185616,8.51,24.0,"[[88, 6], [55, 27], [3, 3], [97, 5], [9431, 4], [7, 4], [60017886, 4580796], [77, 9], [6, 6], [7208, 321688]]"
29,6.0,0.8558037158133867,8.74,25.0,"[[88, 4], [97, 5], [9431, 4], [55, 27], [69, 3], [3, 3], [690610, 6253543], [60017886, 4580796], [7208, 321688], [6, 6]]"
30,7.0,0.6633249580710799,9.0,26.0,"[[9431, 4], [87, 5], [690610, 6253543], [88, 6], [3, 3], [55, 7], [6, 6], [7, 4], [97, 5], [60017886, 4580796]]"
31,7.0,0.714142842854286,9.1,27.0,"[[14079459, 46412865], [77, 9], [88, 6], [7208, 321688], [55, 27], [88, 4], [69, 3], [97, 5], [910732028, 0], [55, 7]]"
32,8.0,0.5450688029964665,9.23,28.0,"[[55, 7], [88, 4], [87, 5], [60017886, 4580796], [3, 3], [88, 6], [97, 5], [7, 4], [910732028, 0], [6, 6]]"
